sha256,downloads,unique_ips,first_seen,last_seen,urls
a8460f446be540410004b1a8db4083773fa46f7fe76fa84219c93daa1669f8f2,3513,1246,2026-03-05 18:50 UTC,2026-03-21 23:51 UTC,
1b20a210fe96e5a8abc347dfb91d7befecb4b5f9b7ed40d856410fac15952057,2780,587,2026-02-21 01:17 UTC,2026-03-21 22:43 UTC,
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,175,143,2026-03-06 05:05 UTC,2026-03-21 18:51 UTC,
a5c41ad2a873e7904cb35754bf57108df0b72d5939ba9d9b0a8250affda6285d,19,5,2026-02-25 18:57 UTC,2026-03-04 18:46 UTC,
bc54a596462c45edccac86fc9b77c5dbfaba914c86d5e35cabf4445ded3bb266,15,10,2026-02-22 13:25 UTC,2026-03-12 10:16 UTC,
dccfd62d350184fc137b18acbdd56fceee07f2c7b7f89eb1071e7c4eb0f01bcd,8,2,2026-03-06 12:02 UTC,2026-03-21 09:59 UTC,http://103.56.149.224/cacti/oto
817fb161a8199e1cc57206461aca31154b2a69890ea7cef73ed7410c95671a87,7,1,2026-02-27 13:06 UTC,2026-02-27 14:54 UTC,http://172.94.9.106:8080/l.x86_64
32b44db3980a94e1be989a4c5605cb2b3ed2db6cfa208943c70ae2a82d983291,4,2,2026-03-06 12:02 UTC,2026-03-21 09:59 UTC,http://103.56.149.224/cacti/ns1.jpg
9701ae7249aa394624bf33096e3f5dd2be0bb778debba3364f5277a50874cc31,4,2,2026-03-06 12:02 UTC,2026-03-21 09:59 UTC,http://103.56.149.224/cacti/ns3.jpg
7ad5d373cc8ec9420f56476aa2d48ad45d67287db6cf6253c6ee868443279489,3,1,2026-02-27 12:21 UTC,2026-02-27 12:21 UTC,http://172.94.9.106:8080/l.x86_64
1d45712bba2b79753dd55a98e55db0978e327ac01e27a99341ad9b2c264c4448,2,1,2026-02-27 14:54 UTC,2026-02-27 14:54 UTC,
46de421734f272934e7f6b69db826d4f74db727e89d15a7884420bb625b6679f,2,1,2026-02-24 22:18 UTC,2026-02-24 22:18 UTC,http://185.91.127.182/1.sh
5221ec6e6edebc1a14023576bac25d830066695340c056405d9f0c172c5fa6b7,2,1,2026-02-24 22:27 UTC,2026-02-24 22:33 UTC,http://185.91.127.182/l.sh
8a2fb1b1ee281817a2fd2d8e510db83a9ab2ed29e27ba248008ce1e165fc7479,2,1,2026-02-27 14:54 UTC,2026-02-27 14:54 UTC,
8b3c537c5954161d21f26bbe3c3723f67b7e922692c91d870b3b9ca16dce74d2,2,1,2026-02-27 14:54 UTC,2026-02-27 14:54 UTC,
ad955f2fc192c74bbab93a06edd77a4691fe3cd95d255f94664f5ac87674c283,2,2,2026-02-25 16:23 UTC,2026-02-27 19:34 UTC,
efa54ea92b19f480b25a0c87c11324a0c8c3121a1d97ca411118e8383c60f8ab,2,1,2026-02-27 14:54 UTC,2026-02-27 14:54 UTC,
0c889251c703623c3397893515aae9624f45c609fcf5881ace4b2e0a1857a88f,1,1,2026-02-26 12:33 UTC,2026-02-26 12:33 UTC,
2a229b637f23b1f389d5bb15927bcf32a883d680c4d5fa490ddff279e674b8a6,1,1,2026-02-28 09:14 UTC,2026-02-28 09:14 UTC,http://130.12.180.124/8x6h0a.sh
4355a46b19d348dc2f57c046f8ef63d4538ebb936000f3c9ee954a27460dd865,1,1,2026-03-03 06:25 UTC,2026-03-03 06:25 UTC,
47104de870ccfd602e40790f65569708d3f2256317e0cffe9ea4d86ac58281c5,1,1,2026-02-27 01:46 UTC,2026-02-27 01:46 UTC,
47c2e12d095d77a8d7b471efa568af06a4ef90de34d700fd13b26aa768a8fe88,1,1,2026-02-27 12:21 UTC,2026-02-27 12:21 UTC,
6b23334daf6181235f574ac71257918a1cb46295dfbb0a130babda29f3fdb08a,1,1,2026-02-24 22:18 UTC,2026-02-24 22:18 UTC,ftp://anonymous:anonymous@185.91.127.182/2.sh
78fd5eb896dfb151a3975bfdfdd7a6e924d52aab8756ee959b8102c2d1cca53f,1,1,2026-03-19 08:27 UTC,2026-03-19 08:27 UTC,http://176.65.139.34/xd/Space.mips
b1b8308d882329d9d10fed76e51cbdcba10a899abeeda81cda4764f61a4804d1,1,1,2026-03-20 18:25 UTC,2026-03-20 18:25 UTC,
f74113ff44e07f9b366e89c2938a6db6f0a2f4b9c422de161f2f4bbff59ccd18,1,1,2026-03-20 08:27 UTC,2026-03-20 08:27 UTC,
